fichier,n chiffres,nb de sequences
carree_1M.txt,312,999689
1 million de pi.txt,313,999689
carree_1M.txt,313,999688
1 million de pi.txt,314,999688
carree_1M.txt,314,999687
1 million de pi.txt,315,999687
carree_1M.txt,315,999686
1 million de pi.txt,316,999686
carree_1M.txt,316,999685
1 million de pi.txt,317,999685
carree_1M.txt,317,999684
1 million de pi.txt,318,999684
carree_1M.txt,318,999683
1 million de pi.txt,319,999683
carree_1M.txt,319,999682
1 million de pi.txt,320,999682
carree_1M.txt,320,999681
1 million de pi.txt,321,999681
carree_1M.txt,321,999680
1 million de pi.txt,322,999680
carree_1M.txt,322,999679
1 million de pi.txt,323,999679
carree_1M.txt,323,999678
1 million de pi.txt,324,999678
carree_1M.txt,324,999677
1 million de pi.txt,325,999677
carree_1M.txt,325,999676
1 million de pi.txt,326,999676
carree_1M.txt,326,999675
1 million de pi.txt,327,999675
carree_1M.txt,327,999674
1 million de pi.txt,328,999674
carree_1M.txt,328,999673
1 million de pi.txt,329,999673
carree_1M.txt,329,999672
1 million de pi.txt,330,999672
carree_1M.txt,330,999671
1 million de pi.txt,331,999671
carree_1M.txt,331,999670
1 million de pi.txt,332,999670
carree_1M.txt,332,999669
1 million de pi.txt,333,999669
carree_1M.txt,333,999668
1 million de pi.txt,334,999668
carree_1M.txt,334,999667
1 million de pi.txt,335,999667
carree_1M.txt,335,999666
1 million de pi.txt,336,999666
carree_1M.txt,336,999665
1 million de pi.txt,337,999665
carree_1M.txt,337,999664
1 million de pi.txt,338,999664
carree_1M.txt,338,999663
1 million de pi.txt,339,999663
carree_1M.txt,339,999662
1 million de pi.txt,340,999662
carree_1M.txt,340,999661
1 million de pi.txt,341,999661
carree_1M.txt,341,999660
1 million de pi.txt,342,999660
carree_1M.txt,342,999659
1 million de pi.txt,343,999659
carree_1M.txt,343,999658
1 million de pi.txt,344,999658
carree_1M.txt,344,999657
1 million de pi.txt,345,999657
carree_1M.txt,345,999656
1 million de pi.txt,346,999656
carree_1M.txt,346,999655
1 million de pi.txt,347,999655
carree_1M.txt,347,999654
1 million de pi.txt,348,999654
carree_1M.txt,348,999653
1 million de pi.txt,349,999653
carree_1M.txt,349,999652
1 million de pi.txt,350,999652
carree_1M.txt,350,999651
1 million de pi.txt,351,999651
carree_1M.txt,351,999650
1 million de pi.txt,352,999650
carree_1M.txt,352,999649
1 million de pi.txt,353,999649
carree_1M.txt,353,999648
1 million de pi.txt,354,999648
carree_1M.txt,354,999647
1 million de pi.txt,355,999647
carree_1M.txt,355,999646
1 million de pi.txt,356,999646
carree_1M.txt,356,999645
1 million de pi.txt,357,999645
carree_1M.txt,357,999644
1 million de pi.txt,358,999644
carree_1M.txt,358,999643
1 million de pi.txt,359,999643
carree_1M.txt,359,999642
1 million de pi.txt,360,999642
carree_1M.txt,360,999641
1 million de pi.txt,361,999641
carree_1M.txt,361,999640
1 million de pi.txt,362,999640
carree_1M.txt,362,999639
1 million de pi.txt,363,999639
carree_1M.txt,363,999638
1 million de pi.txt,364,999638
carree_1M.txt,364,999637
1 million de pi.txt,365,999637
carree_1M.txt,365,999636
1 million de pi.txt,366,999636
carree_1M.txt,366,999635
1 million de pi.txt,367,999635
carree_1M.txt,367,999634
1 million de pi.txt,368,999634
carree_1M.txt,368,999633
1 million de pi.txt,369,999633
carree_1M.txt,369,999632
1 million de pi.txt,370,999632
carree_1M.txt,370,999631
1 million de pi.txt,371,999631
carree_1M.txt,371,999630
1 million de pi.txt,372,999630
carree_1M.txt,372,999629
1 million de pi.txt,373,999629
carree_1M.txt,373,999628
1 million de pi.txt,374,999628
carree_1M.txt,374,999627
1 million de pi.txt,375,999627
carree_1M.txt,375,999626
1 million de pi.txt,376,999626
carree_1M.txt,376,999625
1 million de pi.txt,377,999625
carree_1M.txt,377,999624
1 million de pi.txt,378,999624
carree_1M.txt,378,999623
1 million de pi.txt,379,999623
carree_1M.txt,379,999622
1 million de pi.txt,380,999622
carree_1M.txt,380,999621
1 million de pi.txt,381,999621
carree_1M.txt,381,999620
1 million de pi.txt,382,999620
carree_1M.txt,382,999619
1 million de pi.txt,383,999619
carree_1M.txt,383,999618
1 million de pi.txt,384,999618
carree_1M.txt,384,999617
1 million de pi.txt,385,999617
carree_1M.txt,385,999616
1 million de pi.txt,386,999616
carree_1M.txt,386,999615
1 million de pi.txt,387,999615
carree_1M.txt,387,999614
1 million de pi.txt,388,999614
carree_1M.txt,388,999613
1 million de pi.txt,389,999613
carree_1M.txt,389,999612
1 million de pi.txt,390,999612
carree_1M.txt,390,999611
1 million de pi.txt,391,999611
carree_1M.txt,391,999610
1 million de pi.txt,392,999610
carree_1M.txt,392,999609
1 million de pi.txt,393,999609
carree_1M.txt,393,999608
1 million de pi.txt,394,999608
carree_1M.txt,394,999607
1 million de pi.txt,395,999607
carree_1M.txt,395,999606
1 million de pi.txt,396,999606
carree_1M.txt,396,999605
1 million de pi.txt,397,999605
carree_1M.txt,397,999604
1 million de pi.txt,398,999604
carree_1M.txt,398,999603
1 million de pi.txt,399,999603
carree_1M.txt,399,999602
1 million de pi.txt,400,999602
carree_1M.txt,400,999601
1 million de pi.txt,401,999601
carree_1M.txt,401,999600
1 million de pi.txt,402,999600
carree_1M.txt,402,999599
1 million de pi.txt,403,999599
carree_1M.txt,403,999598
1 million de pi.txt,404,999598
carree_1M.txt,404,999597
1 million de pi.txt,405,999597
carree_1M.txt,405,999596
1 million de pi.txt,406,999596
carree_1M.txt,406,999595
1 million de pi.txt,407,999595
carree_1M.txt,407,999594
